"","Entity","Code","Year","armed_forces_share_population","terrorism_fatalities"
"1126","Iraq","IRQ",1989,5.88410363506978,0
"1127","Iraq","IRQ",1991,2.65519518004375,1
"1128","Iraq","IRQ",1992,2.21162718160448,117
"1129","Iraq","IRQ",1994,2.17509816601864,75
"1130","Iraq","IRQ",1995,2.02140595955937,156
"1131","Iraq","IRQ",1996,2.08102045352003,11
"1132","Iraq","IRQ",1997,2.06580548993056,106
"1133","Iraq","IRQ",1998,2.16601633420502,19
"1134","Iraq","IRQ",1999,2.10068730190661,32
"1135","Iraq","IRQ",2000,2.03850701448561,10
"1136","Iraq","IRQ",2001,1.92910015780618,9
"1137","Iraq","IRQ",2002,1.73271840012976,10
"1138","Iraq","IRQ",2003,1.68457154346099,391
"1139","Iraq","IRQ",2004,0.680250444651974,2171
"1140","Iraq","IRQ",2005,0.843167846228768,3384
"1141","Iraq","IRQ",2006,1.80340193741474,4612
"1142","Iraq","IRQ",2007,1.29696844017188,6665
"1143","Iraq","IRQ",2008,2.03271086231012,2864
"1144","Iraq","IRQ",2009,2.27588246596669,2585
"1145","Iraq","IRQ",2010,2.69787042065159,2074
"1039","India","IND",1985,0.160640519751535,51
"1040","India","IND",1989,0.147310758797426,874
"1041","India","IND",1990,0.144283984024653,907
"1042","India","IND",1991,0.1424927841598,1113
"1043","India","IND",1992,0.139666798436609,1152
"1044","India","IND",1994,0.134306000939753,389
"1045","India","IND",1995,0.222995086038994,361
"1046","India","IND",1996,0.226290578226969,569
"1047","India","IND",1997,0.2230992044692,853
"1048","India","IND",1998,0.222171306247985,398
"1049","India","IND",1999,0.218003200618373,469
"1050","India","IND",2000,0.224498854293001,671
"1051","India","IND",2001,0.21885579481633,660
"1052","India","IND",2002,0.218390420309015,599
"1053","India","IND",2003,0.217242439681953,472
"1054","India","IND",2004,0.23167011652713,334
"1055","India","IND",2005,0.265508334868669,468
"1056","India","IND",2006,0.222139035009894,722
"1057","India","IND",2007,0.217712929378673,626
"1058","India","IND",2008,0.215046641609352,904
"1059","India","IND",2009,0.215613818881917,774
"1060","India","IND",2010,0.212721872350247,812
"2173","Sri Lanka","LKA",1985,0.133528829430644,611
"2174","Sri Lanka","LKA",1989,0.128604190906608,1822
"2175","Sri Lanka","LKA",1990,0.126978490824852,1393
"2176","Sri Lanka","LKA",1991,0.627290608684029,1034
"2177","Sri Lanka","LKA",1992,0.620178569706972,984
"2178","Sri Lanka","LKA",1994,0.60792040708119,186
"2179","Sri Lanka","LKA",1995,1.29091197421991,1020
"2180","Sri Lanka","LKA",1996,1.22609268977623,827
"2181","Sri Lanka","LKA",1997,1.23004313217707,468
"2182","Sri Lanka","LKA",1998,1.21306174468121,680
"2183","Sri Lanka","LKA",1999,1.16967568370705,212
"2184","Sri Lanka","LKA",2000,1.08427027385706,432
"2185","Sri Lanka","LKA",2001,1.10830703087032,195
"2186","Sri Lanka","LKA",2002,1.29311638215308,3
"2187","Sri Lanka","LKA",2003,1.25311875196239,23
"2188","Sri Lanka","LKA",2004,1.23277512691007,30
"2189","Sri Lanka","LKA",2005,1.02328023941483,125
"2190","Sri Lanka","LKA",2006,1.08143911825242,948
"2191","Sri Lanka","LKA",2007,1.07347811546028,410
"2192","Sri Lanka","LKA",2008,1.06585353551124,353
"2193","Sri Lanka","LKA",2009,1.10865362043238,201
"2194","Sri Lanka","LKA",2010,1.10109014340231,2
"44","Algeria","DZA",1990,0.489151854165043,3
"45","Algeria","DZA",1991,0.477264266678909,42
"46","Algeria","DZA",1992,0.466177525581492,236
"47","Algeria","DZA",1994,0.446590330674266,500
"48","Algeria","DZA",1995,0.566455250313411,418
"49","Algeria","DZA",1996,0.563444480644452,529
"50","Algeria","DZA",1997,0.908449657700741,4266
"51","Algeria","DZA",1998,0.888292719278635,952
"52","Algeria","DZA",1999,0.99009234962303,467
"53","Algeria","DZA",2000,0.983176535145436,528
"54","Algeria","DZA",2001,0.970382569512634,624
"55","Algeria","DZA",2002,0.997956057913471,615
"56","Algeria","DZA",2003,0.956789234766665,269
"57","Algeria","DZA",2004,0.972710484990083,166
"58","Algeria","DZA",2005,0.962300737381794,228
"59","Algeria","DZA",2006,0.99283591599978,185
"60","Algeria","DZA",2007,0.977552125186613,241
"61","Algeria","DZA",2008,0.961687853168347,249
"62","Algeria","DZA",2009,0.945834369402151,204
"63","Algeria","DZA",2010,0.881663350747111,109
"1782","Pakistan","PAK",1985,0.523692502904687,0
"1783","Pakistan","PAK",1989,0.497546359695362,56
